start	end	text
0	3000	Hello.
3000	5000	Hey, how are you?
5000	7000	Nizuri.
7000	13000	Na nili nunu wa connecti kutoka sa aini ya kwa saata na nambakantosa aizi aikonet.
13000	15000	Kulini nua jenamu lunu nulini?
15000	17000	Leo.
17000	19000	Kulini nua how much?
19000	21000	Eitebub.
21000	23000	Na hi-fans.
23000	28000	Niki anda kuni kukonesti nii hindi eina miwete ya dena kuni nunu atena.
28000	31000	Nambakani kona count?
31000	34000	Nene na nimefungu anayo?
34000	35000	Eh.
35000	38000	0707 tabu 8-0?
38000	41000	Kida go 0707 tabu 8-0?
41000	43000	7-9-1.
43000	46000	Yes, yes.
46000	49000	Nituwia meseji wa inama otaf meseji enci bie?
49000	52000	Meseji enci akununu wa.
52000	53000	Na sema?
53000	54000	Eh.
54000	57000	Nituwia meseji enci bie kwa inama?
57000	59000	Bia otaf juu siyo niwa paymenta.
59000	61000	Dera sema nituwia kilukwata rai 17.
61000	63000	Tuna zan tawetia meseji niya nene.
63000	64000	Kwa?
64000	66000	Ok, asante.
