start	end	text
0	1920	and says, how do I get to Dublin?
1920	3880	And the answer that comes back is,
3880	5680	well, I wouldn't start from here, Sonny.
5680	9280	That is to say, much of political philosophy
9280	12760	develops theories that take no account
12760	15080	of where we actually are,
15080	17680	and how the theories that people argue about
17680	19600	in the journals and in the literature
19600	22280	actually could be implemented in the world, if at all.
22280	25320	And this spills over into normative arguments
25320	28000	made by other scholars,
28000	30640	Thomas Piketty in his book,
30640	32600	Capital in the 21st Century,
32600	36480	argues for a 4% global wealth tax.
36480	37520	Well, good luck with that.
37520	40360	Who's gonna implement a 4% global wealth tax?
40360	45360	So when I think about normative questions,
